"P39_NL","P39_L","P33_NL","P33_L","P22_NL","P22_L","P19_NL","P19_L","P65_NL","P65_L"
"AC022893.2",2,2,29,16,2,1,6,7,3,0
"AC022893.3",0,0,2,1,0,0,1,0,0,0
"AC022898.1",6,0,17,0,5,0,0,3,1,0
"AC022898.2",11,2,39,18,9,0,7,17,6,4
"AC022903.1",0,0,0,0,0,0,0,0,0,0
"AC022903.2",7,6,34,16,4,3,3,6,7,9
"AC022905.1",0,0,0,0,0,0,0,0,0,0
"AC022915.1",0,0,0,0,0,0,0,0,0,0
"AC022915.2",7,14,29,42,2,7,5,9,16,16
"AC022915.3",0,0,0,2,0,0,1,1,3,0
"AC022916.1",0,0,0,0,0,0,0,0,0,0
"AC022916.2",27,14,49,38,4,2,17,24,20,14
"AC022916.3",0,0,0,0,0,0,0,0,0,0
"AC022916.4",0,0,0,0,0,0,0,0,0,0
"AC022916.5",0,0,0,0,0,0,0,0,0,0
"AC022919.1",0,0,1,1,0,0,0,0,0,0
"AC022929.1",0,0,0,0,0,0,0,0,0,0
"AC022929.2",17,8,72,34,9,0,2,8,8,8
"AC022960.1",0,0,4,1,1,0,2,1,0,0
"AC022960.2",3,2,8,4,0,0,4,1,1,6
"AC022960.3",0,0,2,0,0,0,2,0,0,0
"AC022966.1",14,13,19,5,31,1,27,0,1,2
"AC022966.2",19,10,144,34,7,0,6,10,10,5
"AC022968.1",2,2,1,1,0,1,0,1,0,2
"AC022973.1",0,0,1,0,0,0,1,0,0,1
"AC022973.2",0,1,9,2,0,0,0,1,1,0
"AC022973.3",3,1,27,6,2,1,5,7,4,3
"AC022973.4",1,1,14,8,1,0,0,0,0,1
"AC022973.5",4,4,39,9,1,1,0,5,9,5
"AC023024.1",14,9,78,39,4,0,11,4,7,11
"AC023024.2",4,1,15,2,2,1,3,2,3,6
"AC023034.1",1,0,2,2,0,0,0,1,0,0
"AC023043.1",4,3,5,1,0,0,2,3,0,2
"AC023043.2",0,0,2,1,0,0,0,0,0,0
"AC023043.3",0,1,2,0,0,0,0,0,0,0
"AC023043.4",7,1,4,11,1,1,3,3,2,5
"AC023049.1",0,0,0,0,0,0,0,0,0,0
"AC023050.1",1,0,0,0,0,0,0,0,0,0
"AC023050.2",0,0,0,0,0,0,0,0,0,0
"AC023050.3",0,0,0,0,0,0,0,0,0,0
"AC023050.4",0,0,0,0,0,0,0,0,0,0
"AC023050.5",2,0,60,18,4,1,1,1,4,0
"AC023051.1",14,1,69,27,3,0,11,7,6,7
"AC023051.2",0,0,2,2,0,0,0,1,0,1
"AC023055.1",29,9,83,4,1,3,0,3,0,24
"AC023078.1",0,0,0,0,0,0,0,0,0,0
"AC023078.2",0,0,0,0,0,0,0,0,0,0
"AC023090.1",0,0,4,0,0,0,1,0,0,0
"AC023090.2",5,2,57,20,4,2,4,6,4,2
"AC023095.1",0,0,5,0,0,0,0,0,0,0
"AC023105.1",1,0,4,1,0,0,0,0,0,0
"AC023115.1",0,0,0,0,0,0,0,0,1,0
"AC023128.1",0,0,0,0,0,0,0,0,0,0
"AC023128.2",0,0,0,0,0,0,0,0,0,0
"AC023136.1",0,0,6,2,0,0,0,1,1,0
"AC023137.1",0,0,0,1,0,0,0,0,0,0
"AC023137.2",5,0,1,2,0,0,0,0,1,2
"AC023141.1",0,0,2,2,0,0,2,2,1,0
"AC023141.10",0,0,0,0,0,0,0,0,0,0
"AC023141.11",0,0,0,0,0,0,0,0,0,0
"AC023141.12",1,0,3,7,1,1,3,2,2,1
"AC023141.13",0,0,0,0,0,0,0,0,0,0
"AC023141.2",1,0,13,3,2,1,1,8,5,1
"AC023141.3",0,0,0,0,0,0,0,0,0,0
"AC023141.4",4,0,1,3,0,0,0,1,0,0
"AC023141.5",0,0,0,0,0,0,0,0,0,0
"AC023141.6",0,1,3,3,0,0,0,0,0,2
"AC023141.7",0,0,0,0,0,0,0,0,0,0
"AC023141.8",0,0,0,0,0,0,0,0,0,0
"AC023141.9",0,0,1,2,0,0,0,0,0,0
"AC023154.1",2,5,31,18,1,0,1,1,0,4
"AC023157.1",2,1,0,0,0,0,0,0,0,0
"AC023157.2",66,32,242,95,31,20,54,61,86,100
"AC023158.1",0,1,0,0,0,0,0,0,0,0
"AC023158.2",0,0,0,0,0,0,0,0,0,0
"AC023161.1",0,0,1,0,0,0,0,0,0,0
"AC023162.1",0,0,1,0,0,0,0,0,0,0
"AC023194.1",0,0,0,2,0,0,0,0,0,1
"AC023194.2",1,0,0,0,0,1,1,0,0,0
"AC023194.3",0,0,0,1,0,0,0,0,0,0
"AC023200.1",0,0,0,0,0,0,0,0,0,0
"AC023202.1",3,0,14,5,1,0,3,4,1,2
"AC023206.1",0,0,0,2,2,0,2,0,2,1
"AC023232.1",0,1,0,0,0,0,0,0,0,0
"AC023245.1",0,0,0,0,0,0,0,0,0,0
"AC023245.2",0,0,0,0,0,0,0,3,0,0
"AC023245.3",0,0,0,0,0,0,0,0,0,0
"AC023271.1",1,0,3,0,0,0,1,0,0,0
"AC023271.2",0,0,20,2,0,0,1,0,1,3
"AC023274.1",0,0,0,0,0,0,0,0,0,0
"AC023274.2",0,0,0,0,0,0,0,0,0,0
"AC023282.1",5,8,69,22,3,2,6,15,5,9
"AC023283.1",3,0,12,6,0,0,0,1,1,0
"AC023296.1",6,4,14,10,4,1,3,10,7,7
"AC023300.1",0,1,0,0,0,0,0,0,0,0
"AC023300.2",0,0,0,1,0,0,0,0,0,0
"AC023300.3",0,1,0,0,0,0,0,1,0,0
"AC023301.1",0,0,0,0,0,0,0,0,2,0
"AC023302.1",1,0,11,1,1,0,6,1,1,3
"AC023302.2",6,4,54,17,3,1,9,10,4,3
"AC023310.1",0,0,0,0,0,0,0,0,1,2
"AC023310.2",0,0,0,0,0,0,0,1,0,0
"AC023310.3",0,0,1,1,0,0,0,0,0,0
"AC023310.4",1,1,0,0,0,0,0,0,0,0
"AC023347.1",1,0,1,0,0,0,3,1,0,0
"AC023355.1",0,0,0,0,0,0,0,0,0,0
"AC023355.2",6,3,51,16,1,2,7,10,12,10
"AC023356.1",0,0,0,0,0,0,0,0,0,0
"AC023385.1",0,0,3,0,1,0,3,3,0,0
"AC023389.1",1,0,1,1,1,0,0,0,0,0
"AC023389.2",0,0,12,3,3,0,3,0,0,1
"AC023389.3",0,0,12,5,0,0,1,2,0,0
"AC023394.1",0,0,0,0,0,0,0,0,0,0
"AC023394.2",0,0,0,0,0,0,0,0,0,0
"AC023403.1",0,0,1,0,0,0,0,0,0,1
"AC023421.1",1,0,2,2,0,0,1,2,1,2
"AC023421.2",0,0,0,0,0,0,0,0,0,0
"AC023424.1",0,0,4,2,2,0,0,0,1,0
"AC023424.2",7,0,78,17,10,1,9,2,4,1
"AC023442.1",0,0,0,0,0,0,0,0,0,0
"AC023442.2",0,0,0,0,0,0,0,0,0,0
"AC023442.3",0,0,3,0,0,0,0,0,0,0
"AC023449.1",0,0,0,1,0,0,0,2,0,0
"AC023468.1",0,0,0,0,0,0,0,0,0,0
"AC023469.1",0,0,0,0,0,0,1,0,0,0
"AC023469.2",0,0,0,0,0,0,0,0,0,0
"AC023480.1",5,2,3,2,0,0,7,1,5,1
"AC023481.1",0,0,2,1,0,1,1,2,0,1
"AC023483.1",1,0,10,1,0,0,2,2,3,1
"AC023490.1",0,0,0,0,0,0,0,0,0,0
"AC023490.2",0,1,4,1,0,0,0,0,0,0
"AC023490.3",0,0,1,1,0,0,0,0,0,0
"AC023490.4",0,0,0,0,0,0,0,0,0,0
"AC023490.5",0,0,0,0,0,0,0,0,0,0
"AC023490.6",0,0,0,0,0,0,0,0,0,0
"AC023490.7",0,0,0,0,0,0,0,0,0,0
"AC023494.1",5,1,17,12,0,2,5,7,4,5
"AC023503.1",0,0,0,0,3,0,0,0,0,0
"AC023509.1",19,63,388,60,0,14,34,86,47,37
"AC023509.2",5,4,11,12,0,0,7,3,0,0
"AC023509.3",47,12,69,29,22,5,38,42,32,16
"AC023509.4",3,0,3,2,1,0,0,1,0,0
"AC023509.5",0,0,1,0,0,0,0,0,0,2
"AC023509.6",0,0,4,3,0,0,1,0,0,0
"AC023510.1",0,0,0,0,0,0,0,0,1,0
"AC023510.2",7,5,11,5,0,1,0,0,10,2
"AC023511.1",1,1,9,2,1,0,0,3,0,0
"AC023511.2",0,0,0,0,0,0,0,2,0,0
"AC023511.3",0,0,1,0,0,0,0,0,0,0
"AC023512.1",1,0,2,4,0,0,0,2,1,1
"AC023513.1",0,0,0,0,0,0,0,0,0,0
"AC023538.1",0,0,0,0,0,0,0,0,0,0
"AC023575.1",0,0,0,0,0,0,0,0,0,0
"AC023590.1",1,1,10,1,4,0,1,1,0,1
"AC023593.1",0,0,7,3,0,0,0,2,3,1
"AC023595.1",0,0,0,0,0,0,0,0,0,0
"AC023632.1",0,1,1,0,0,0,0,0,0,0
"AC023632.2",18,14,22,26,3,4,7,37,12,12
"AC023632.3",0,0,0,0,0,0,0,0,0,0
"AC023632.4",0,0,0,0,0,0,0,0,0,0
"AC023632.5",0,0,6,1,0,0,0,0,2,2
"AC023644.1",2,0,0,0,0,0,0,1,0,1
"AC023669.1",1,1,2,0,0,0,0,1,6,1
"AC023669.2",0,0,3,0,0,0,0,1,3,1
"AC023762.1",0,0,0,0,0,0,0,0,0,0
"AC023781.1",0,0,0,0,0,0,0,0,0,0
"AC023787.1",1,0,0,0,0,0,0,1,0,0
"AC023787.2",1,0,3,0,0,0,0,1,0,0
"AC023787.3",0,0,1,0,0,0,0,0,1,1
"AC023790.1",0,0,0,0,0,0,0,0,0,0
"AC023790.2",3,4,8,4,0,2,3,6,6,5
"AC023794.1",0,0,0,0,0,0,0,0,0,0
"AC023794.2",38,26,81,43,5,2,20,45,33,28
"AC023794.3",2,1,4,9,0,3,0,2,6,9
"AC023794.4",2,0,18,2,1,0,2,1,1,3
"AC023794.5",1,0,12,8,1,0,0,0,4,2
"AC023794.6",0,0,7,6,0,0,1,0,3,0
"AC023794.7",2,1,24,10,1,0,0,4,7,0
"AC023796.1",1,1,26,14,2,1,4,2,6,1
"AC023796.2",0,0,0,0,0,0,0,0,0,0
"AC023813.1",0,1,2,0,0,0,0,0,0,0
"AC023813.2",3,0,9,0,0,0,4,1,0,0
"AC023813.3",0,2,9,1,0,0,0,0,3,1
"AC023813.4",0,0,0,0,0,0,0,0,0,0
"AC023818.1",14,10,138,61,8,1,10,15,17,13
"AC023824.1",1,0,1,0,0,0,1,1,0,0
"AC023824.2",0,0,0,1,0,0,0,0,0,0
"AC023824.3",3,4,19,13,1,0,7,9,5,1
"AC023824.4",0,0,4,0,0,0,0,1,0,0
"AC023824.5",0,0,2,3,0,0,0,4,0,0
"AC023824.6",9,1,13,12,1,1,1,4,3,4
"AC023825.1",0,0,1,0,0,0,0,1,0,0
"AC023825.2",1,1,24,10,3,0,2,1,2,0
"AC023827.1",0,0,0,0,0,0,0,0,0,0
"AC023830.1",1,1,10,6,1,0,1,1,0,0
"AC023830.2",2,3,48,13,7,1,7,3,4,0
"AC023830.3",3,1,26,16,1,0,0,0,0,1
"AC023830.4",2,2,17,3,2,0,5,6,6,2
"AC023855.1",1,0,6,0,0,0,0,1,0,1
"AC023855.2",0,0,23,13,0,0,0,0,1,0
"AC023866.1",1,1,3,0,1,0,0,0,0,0
"AC023866.2",0,0,0,0,0,0,0,1,0,1
"AC023891.1",0,0,0,0,0,0,0,1,0,0
"AC023905.1",4,0,7,7,0,1,0,6,4,0
"AC023906.1",0,0,1,2,0,0,0,0,0,0
"AC023906.2",9,1,11,5,2,12,7,6,8,9
"AC023906.3",0,0,0,0,0,0,0,0,0,0
"AC023906.4",4,0,37,6,4,0,0,1,0,0
"AC023906.5",13,11,178,51,1,1,0,3,18,5
"AC023908.1",0,0,0,0,0,0,0,0,0,0
"AC023908.2",0,0,0,0,0,0,0,0,0,0
"AC023908.3",0,0,6,3,0,0,7,2,2,1
"AC023932.1",0,0,0,0,0,0,0,0,0,0
"AC023934.1",0,0,3,2,0,0,1,1,0,0
"AC023946.1",0,0,0,0,0,1,3,3,2,0
"AC023950.1",0,0,0,0,0,0,0,0,0,0
"AC023968.1",0,0,0,0,0,0,0,0,0,0
"AC023968.2",0,1,0,1,0,0,0,0,0,0
"AC023983.1",1,1,5,4,0,0,1,1,1,1
"AC023983.2",0,0,2,0,1,0,0,0,1,0
"AC024022.1",1,1,9,8,0,0,2,0,2,0
"AC024023.1",0,1,37,7,0,1,0,4,0,1
"AC024028.1",1,2,8,0,6,1,2,3,2,1
"AC024032.1",0,0,0,0,0,0,0,0,0,0
"AC024032.2",0,0,10,4,0,0,1,0,0,0
"AC024051.1",5,3,19,7,7,1,19,31,5,10
"AC024051.10",5,3,19,7,7,1,19,31,5,10
"AC024051.11",5,3,19,7,7,1,19,31,5,10
"AC024051.12",0,0,0,0,0,0,0,0,0,0
"AC024051.2",5,3,19,7,7,1,19,31,5,10
"AC024051.3",5,3,19,7,7,1,19,31,5,10
"AC024051.4",0,0,0,0,0,0,0,0,0,0
"AC024051.5",5,3,19,7,7,1,19,31,5,10
"AC024051.6",5,3,19,7,7,1,19,31,5,10
"AC024051.7",5,3,19,7,7,1,19,31,5,10
"AC024051.8",5,3,19,7,7,1,19,31,5,10
"AC024051.9",5,3,19,7,7,1,19,31,5,10
"AC024060.1",0,0,0,0,0,0,0,0,0,0
"AC024060.2",3,12,48,22,1,1,9,28,10,11
"AC024067.1",0,0,0,2,0,0,0,0,0,0
"AC024067.2",0,0,0,0,0,0,0,0,0,0
"AC024075.1",16,11,26,21,4,1,13,6,17,12
"AC024075.2",106,58,187,113,17,12,32,106,90,74
"AC024075.3",37,45,88,77,29,7,36,60,60,44
"AC024082.1",0,0,0,0,0,0,0,0,0,0
"AC024082.2",0,0,0,0,0,0,0,0,0,0
"AC024084.1",0,0,0,0,0,0,0,0,0,0
"AC024084.2",2,4,14,15,0,0,11,3,3,5
"AC024085.1",0,1,0,0,0,0,0,0,0,0
"AC024132.1",0,0,0,0,0,0,0,0,0,0
"AC024132.2",0,0,0,0,0,0,0,0,0,0
"AC024132.3",1,0,5,1,0,0,0,7,1,0
"AC024132.4",0,0,0,0,0,0,0,0,0,0
"AC024145.1",11,7,53,18,3,0,9,8,4,12
"AC024153.1",0,0,0,0,0,0,0,0,0,0
"AC024224.1",0,0,0,0,0,0,0,0,0,0
"AC024224.2",0,0,0,0,0,0,2,0,0,0
"AC024230.1",2,1,80,10,1,0,6,4,4,0
"AC024236.1",0,0,22,5,0,1,0,6,0,0
"AC024243.1",1,0,5,0,1,0,1,2,1,0
"AC024255.1",0,0,0,0,0,0,0,0,0,0
"AC024257.1",0,1,4,1,0,0,0,0,0,0
"AC024257.2",0,2,0,0,0,0,0,0,0,0
"AC024257.3",78,55,478,235,53,8,86,63,70,57
"AC024257.4",5,2,21,7,3,0,6,4,4,1
"AC024257.5",0,0,0,0,1,0,0,0,0,0
"AC024267.1",0,0,0,1,0,0,0,0,0,0
"AC024267.2",1,0,28,9,0,0,0,6,2,0
"AC024267.3",0,0,0,0,0,0,0,0,0,0
"AC024267.4",1,1,15,5,2,0,3,4,1,0
"AC024267.5",0,0,12,3,0,0,3,0,0,2
"AC024267.6",0,1,13,1,0,1,2,0,1,1
"AC024267.7",101,33,127,117,62,10,182,220,36,72
"AC024270.1",1,1,7,3,1,0,0,0,1,3
"AC024270.2",0,0,1,1,0,0,0,4,0,0
"AC024270.3",0,0,0,0,0,0,0,0,0,0
"AC024270.4",6,1,7,2,3,0,1,1,4,2
"AC024270.5",3,1,17,6,3,1,2,7,4,0
"AC024288.1",0,0,0,0,0,0,0,0,0,0
"AC024293.1",10,12,5,17,6,5,6,23,13,10
"AC024337.1",0,0,0,0,0,0,0,0,0,0
"AC024337.2",0,0,0,0,0,1,0,1,0,0
"AC024341.1",0,0,0,0,0,0,0,0,0,0
"AC024361.1",7,5,11,9,0,0,2,0,3,2
"AC024361.2",1,2,5,2,1,0,0,7,3,1
"AC024361.3",0,0,17,16,0,0,1,1,3,3
"AC024382.1",0,0,0,1,0,0,0,0,2,0
"AC024405.1",0,0,2,0,0,0,0,0,0,0
"AC024405.2",1,0,5,0,0,0,0,2,1,0
"AC024451.1",0,0,1,2,1,0,0,2,0,0
"AC024451.2",0,1,27,16,2,0,4,3,5,1
"AC024451.3",0,0,0,1,1,0,1,0,0,0
"AC024451.4",2,1,5,3,0,0,1,4,0,1
"AC024475.1",1,0,3,2,0,0,2,0,0,0
"AC024475.2",0,0,1,0,0,0,0,3,0,0
"AC024475.3",0,2,3,1,0,0,0,1,0,0
"AC024558.1",0,1,13,4,0,0,0,3,0,2
"AC024558.2",0,0,3,3,0,0,0,0,0,0
"AC024559.1",0,0,2,3,1,0,0,0,1,0
"AC024559.2",0,0,1,0,0,0,0,2,0,1
"AC024560.1",12,11,24,13,4,1,0,1,8,6
"AC024560.2",8,8,86,20,4,0,6,10,15,5
"AC024560.3",7,6,64,23,5,2,6,12,9,5
"AC024560.4",17,6,69,30,8,5,13,17,12,6
"AC024560.5",0,0,12,0,0,4,0,0,0,0
"AC024561.1",0,0,1,2,0,0,0,0,0,0
"AC024563.1",0,0,0,0,0,0,0,0,0,0
"AC024563.2",0,0,2,1,0,0,0,0,0,1
"AC024568.1",0,1,10,7,0,0,8,1,1,0
"AC024575.1",0,0,0,0,0,0,0,0,0,0
"AC024575.2",5,4,16,10,5,0,11,17,3,4
"AC024579.1",0,0,0,1,0,0,1,0,0,0
"AC024580.1",0,0,5,1,0,0,0,0,0,0
"AC024580.2",3,2,22,4,1,1,4,6,0,5
"AC024580.3",0,0,0,0,0,0,0,0,0,0
"AC024581.1",0,0,3,4,0,0,1,2,1,0
"AC024581.2",0,0,0,0,0,0,0,1,0,0
"AC024587.1",0,0,0,0,0,0,0,1,0,0
"AC024587.2",0,0,0,0,0,0,0,1,0,0
"AC024588.1",3,12,48,20,6,2,7,5,15,6
"AC024589.1",0,0,0,0,0,0,0,0,0,0
"AC024589.2",0,0,0,0,0,0,0,0,0,0
"AC024589.3",0,0,0,0,0,0,0,0,0,0
"AC024592.1",0,1,7,1,0,0,1,0,0,2
"AC024592.2",0,1,15,8,4,1,2,0,0,1
"AC024592.3",26,3,29,18,7,9,22,36,6,7
"AC024595.1",0,0,3,0,0,0,3,2,0,0
"AC024597.1",10,7,79,25,4,1,4,12,13,5
"AC024598.1",0,0,0,3,0,0,0,0,0,0
"AC024603.1",0,0,0,0,0,0,0,0,0,0
"AC024610.1",0,0,0,1,0,0,0,0,0,0
"AC024610.2",4,3,27,23,3,7,5,4,10,25
"AC024614.1",0,0,0,1,0,1,1,3,0,2
"AC024614.2",0,0,0,0,0,0,0,0,0,0
"AC024614.3",0,0,0,0,0,0,0,0,0,0
"AC024614.4",2,0,10,4,1,0,2,2,2,0
"AC024619.1",0,0,1,0,0,0,0,0,0,0
"AC024619.2",0,0,0,0,0,0,0,0,0,0
"AC024619.3",1,0,2,1,0,0,0,0,0,0
"AC024619.4",0,0,0,0,0,0,0,0,0,0
"AC024651.1",1,0,14,4,1,0,0,0,0,0
"AC024651.2",0,0,0,2,0,0,0,0,1,0
"AC024651.3",7,4,35,21,2,0,4,5,6,8
"AC024681.1",0,0,0,0,0,0,0,0,0,0
"AC024681.2",0,0,2,0,0,0,2,0,0,0
"AC024730.1",0,0,0,0,0,0,0,0,0,0
"AC024884.1",0,0,0,0,0,0,0,0,0,0
"AC024884.2",7,5,24,18,0,0,5,10,4,4
"AC024896.1",23,9,117,74,10,1,22,17,22,20
"AC024901.1",1,0,5,2,0,0,0,5,0,0
"AC024909.1",14,19,39,41,2,2,2,28,21,48
"AC024933.1",3,1,12,6,0,0,0,1,2,3
"AC024933.2",2,0,6,4,0,0,0,0,0,0
"AC024933.3",1,0,3,1,0,0,0,0,0,0
"AC024937.1",1,0,2,0,0,0,0,1,0,0
"AC024937.2",0,0,1,0,0,0,0,0,0,0
"AC024937.3",12,6,40,13,0,1,5,7,3,2
"AC024940.1",15,9,40,18,4,0,1,3,6,1
"AC024940.2",8,13,66,58,8,3,21,33,28,16
"AC024940.3",11,23,6,36,0,2,4,8,2,6
"AC024940.4",3,1,8,0,0,0,1,0,1,0
"AC024940.5",0,0,0,0,0,0,0,0,0,0
"AC024940.6",0,2,11,5,1,0,4,3,5,0
"AC024941.1",0,0,0,0,0,0,0,2,0,0
"AC024941.2",4,10,11,18,3,2,2,14,10,12
"AC024958.1",0,0,0,0,0,0,0,0,0,0
"AC024995.1",0,0,0,1,0,0,0,0,0,0
"AC024996.1",0,0,0,0,0,0,0,0,0,0
"AC025030.1",1,0,15,7,1,0,0,0,1,1
"AC025030.2",1,0,5,2,0,0,5,1,2,0
"AC025031.1",0,0,0,0,0,0,0,0,0,0
"AC025031.2",3,9,149,64,5,0,1,0,24,9
"AC025031.3",0,1,6,5,1,0,0,0,0,1
"AC025031.4",2,3,17,13,5,0,3,5,1,1
"AC025031.5",1,1,4,1,4,0,4,5,1,0
"AC025033.1",0,0,0,0,0,0,0,0,0,0
"AC025034.1",13,8,161,35,4,1,7,6,49,20
"AC025034.2",0,0,0,0,0,0,0,0,0,0
"AC025038.1",0,0,1,0,0,0,0,0,0,0
"AC025039.1",0,0,0,0,0,0,0,0,0,0
"AC025040.1",0,0,1,0,0,0,1,1,1,0
"AC025040.2",1,1,2,0,0,0,0,1,0,0
"AC025043.1",0,0,5,5,0,0,0,0,1,1
"AC025048.1",0,0,0,0,0,1,0,0,0,0
"AC025048.2",13,7,71,32,3,2,13,17,10,7
"AC025048.3",0,0,0,0,0,0,0,0,0,0
"AC025048.4",5,13,58,34,6,9,11,9,14,22
"AC025048.5",0,0,0,0,0,0,0,0,0,0
"AC025048.6",0,23,10,6,2,2,7,12,20,8
"AC025048.7",0,0,0,0,0,0,0,0,0,0
"AC025062.1",1,1,1,2,0,2,0,0,0,1
"AC025062.2",0,0,0,0,0,0,0,0,0,0
"AC025062.3",1,0,0,0,0,0,1,0,1,0
"AC025125.1",0,0,0,0,0,0,0,0,0,0
"AC025154.1",0,0,0,0,0,0,0,1,0,0
"AC025154.2",1,0,0,0,0,0,0,0,0,1
"AC025160.1",0,0,0,0,0,0,0,0,0,0
"AC025161.1",0,0,0,1,0,0,0,0,0,0
"AC025162.1",0,0,0,0,0,0,0,0,0,0
"AC025162.2",0,1,4,0,0,0,0,1,0,1
"AC025164.1",0,0,0,0,0,0,0,0,0,0
"AC025164.2",45,30,201,164,8,11,29,47,67,53
"AC025164.3",8,2,20,2,1,2,1,3,4,4
"AC025165.1",0,0,9,8,0,0,2,2,0,1
"AC025165.2",0,0,0,4,0,0,4,0,0,0
"AC025165.3",11,0,0,0,29,1,0,7,10,11
"AC025165.4",0,1,28,9,4,1,7,6,5,2
"AC025165.5",11,7,36,13,6,4,10,21,13,11
"AC025165.6",0,0,0,5,0,2,0,2,0,0
"AC025166.1",7,4,4,5,2,3,2,4,2,7
"AC025169.1",0,0,0,0,0,0,0,0,0,0
"AC025171.1",24,44,96,140,10,16,36,84,36,50
"AC025171.2",7,19,102,90,8,4,19,40,10,15
"AC025171.3",0,3,7,8,0,0,5,4,2,1
"AC025171.4",1,0,1,1,0,1,1,1,1,0
"AC025171.5",4,6,0,19,1,2,0,19,2,10
"AC025174.1",0,0,1,0,0,0,0,0,1,0
"AC025175.1",8,8,14,7,4,0,0,3,0,7
"AC025175.2",2,4,19,10,3,1,7,3,1,3
"AC025176.1",0,0,3,3,0,0,0,0,0,0
"AC025178.1",0,0,0,1,0,0,0,0,0,0
"AC025178.2",1,0,27,9,3,0,1,7,0,4
"AC025180.1",0,0,12,2,0,1,0,0,0,0
"AC025181.1",3,3,0,1,0,1,0,0,0,0
"AC025181.2",37,22,30,28,11,13,19,37,28,40
"AC025183.1",2,0,6,4,0,0,1,4,1,2
"AC025183.2",0,0,0,0,0,0,0,0,0,0
"AC025183.3",0,0,1,0,0,1,0,2,0,0
"AC025186.1",4,0,0,2,0,0,0,0,1,0
"AC025187.1",3,3,28,8,4,0,0,0,5,2
"AC025188.1",0,1,3,1,0,0,0,1,1,0
"AC025188.2",0,0,0,0,0,0,0,0,0,0
"AC025188.3",0,0,0,0,0,0,0,0,0,0
"AC025198.1",1,1,0,2,0,0,0,0,0,1
"AC025211.1",0,0,7,4,0,0,1,0,0,1
"AC025244.1",0,1,0,0,0,1,0,1,0,0
"AC025244.2",0,0,0,0,0,0,0,0,0,0
"AC025252.1",0,0,0,0,0,0,0,0,0,0
"AC025252.2",1,0,0,1,0,0,0,1,0,1
"AC025252.3",0,0,0,0,0,0,0,0,0,0
"AC025253.1",0,0,0,1,0,0,0,0,0,0
"AC025253.2",1,0,8,1,0,0,2,0,4,1
"AC025254.1",0,0,0,0,0,0,0,0,0,0
"AC025257.1",60,57,219,113,41,14,116,100,80,22
"AC025259.1",95,117,177,252,8,4,0,37,41,46
"AC025259.2",0,1,0,2,0,0,0,1,0,0
"AC025260.1",0,0,0,0,0,0,0,0,0,0
"AC025260.2",0,0,0,0,0,0,0,0,0,0
"AC025262.1",2,0,4,4,0,0,0,0,0,0
"AC025262.2",1,0,0,5,5,0,0,5,7,10
"AC025262.3",0,1,0,0,0,0,0,0,0,0
"AC025263.1",8,6,14,9,3,0,7,3,6,7
"AC025263.2",0,0,0,0,0,0,0,1,0,0
"AC025263.3",1,0,0,0,0,0,0,0,0,0
"AC025265.1",1,1,1,5,0,0,1,4,3,2
"AC025265.2",0,0,0,0,0,0,0,0,0,0
"AC025265.3",0,0,0,0,0,0,0,0,0,0
"AC025268.1",8,3,30,5,1,0,0,4,6,2
"AC025270.1",0,0,0,0,0,0,0,0,0,0
"AC025271.1",1,1,4,2,0,0,0,1,0,0
"AC025271.2",1,1,6,3,0,0,1,0,1,0
"AC025271.3",1,1,2,0,0,0,0,0,0,0
"AC025271.4",4,6,11,4,2,0,3,1,8,2
"AC025272.1",0,0,0,0,0,0,0,0,0,0
"AC025277.1",0,0,1,0,0,0,0,0,0,0
"AC025278.1",0,0,1,0,0,0,3,5,0,1
"AC025278.2",0,0,0,0,0,0,0,0,0,0
"AC025278.3",0,0,1,0,1,0,0,0,1,0
"AC025278.4",0,0,0,0,0,0,0,0,0,0
"AC025279.1",3,0,37,3,8,1,11,7,2,4
"AC025279.2",0,0,2,0,0,0,0,0,0,0
"AC025279.3",0,0,0,0,0,0,0,0,0,0
"AC025280.1",0,1,5,4,0,0,0,0,0,0
"AC025280.2",2,3,18,6,2,0,3,3,4,0
"AC025280.3",6,2,82,22,1,0,1,5,8,1
"AC025281.1",0,0,0,0,0,0,0,0,0,0
"AC025283.1",1,0,0,0,0,0,0,0,0,0
"AC025283.2",15,10,12,8,4,7,15,23,27,28
"AC025284.1",4,1,19,2,1,0,7,5,1,1
"AC025287.1",0,0,0,0,2,0,3,0,0,0
"AC025287.2",3,6,18,10,2,2,6,5,7,8
"AC025287.3",1,1,86,10,4,0,2,4,2,2
"AC025287.4",0,0,4,2,1,0,2,1,0,0
"AC025287.5",0,0,1,0,0,0,0,0,0,0
"AC025300.1",1,0,13,0,0,1,0,0,1,1
"AC025362.1",0,0,0,0,0,0,0,0,0,0
"AC025366.1",0,0,2,1,0,0,1,0,0,0
"AC025370.1",0,2,0,0,0,0,0,0,0,1
"AC025370.2",4,5,48,8,1,1,16,8,10,2
"AC025419.1",0,1,1,2,0,0,0,0,0,0
"AC025423.1",1,0,2,2,2,0,2,3,1,0
"AC025423.2",49,24,150,108,9,10,15,71,71,47
"AC025423.3",0,0,0,3,0,0,0,0,0,0
"AC025423.4",77,66,221,159,26,15,50,89,121,88
"AC025423.5",0,0,0,1,0,0,0,0,0,0
"AC025428.1",0,0,0,0,0,0,0,0,0,0
"AC025430.1",2,0,8,3,0,0,0,0,0,0
